gene,Relative.Growth.Rate,phenotype,lower,upper,variance,timesAnalysed
PBANKA_113980,0.938334412,Dispensable,0.769505498,1.107163325,0.007125801,2
PBANKA_114030,0.256350655,Essential,-0.031176306,0.543877616,0.020667938,2
PBANKA_114060,0.213737625,Essential,-0.087604704,0.515079954,0.0227018,2
PBANKA_114120,0.12244179,Essential,0.058077352,0.186806229,0.001035695,2
PBANKA_114130,0.915717668,Dispensable,0.827087931,1.004347404,0.001963808,1
PBANKA_114140,0.940515793,Dispensable,0.713799903,1.167231682,0.012850024,2
PBANKA_114150,0.014312381,Essential,-0.076051043,0.104675805,0.002041387,2
PBANKA_114200,0.158943997,Essential,0.041161877,0.276726117,0.003468157,2
PBANKA_114230,0.867277152,Slow,0.774235368,0.960318935,0.002164193,2
PBANKA_114240,0.568436437,Slow,0.489412746,0.647460128,0.001561186,2
PBANKA_114250,0.208441855,Essential,-0.354325123,0.771208833,0.079176668,2
PBANKA_114260,0.175041554,Essential,-0.079655646,0.429738755,0.016217666,2
PBANKA_114280,0.040618242,Essential,-0.023622955,0.10485944,0.001031733,2
PBANKA_114300,0.084610143,Essential,-0.006330574,0.175550859,0.002067553,3
PBANKA_114310,1.058847248,Dispensable,0.906326614,1.211367881,0.005815636,1
PBANKA_114320,1.00867203,Dispensable,0.889346889,1.127997172,0.003559622,1
PBANKA_114340,0.9215271,Dispensable,0.802687213,1.040366986,0.00353073,1
PBANKA_114360,0.1,Essential,-0.025283695,0.98894925,0.064291779,2
PBANKA_114370,0.960011734,Dispensable,0.840291907,1.07973156,0.003583209,1
PBANKA_114410,0.156719072,Essential,0.044297456,0.269140687,0.003159655,2
PBANKA_114420,0.033566314,Essential,-0.031899819,0.099032447,0.001071454,2
PBANKA_114430,0.553961249,Slow,0.419805053,0.688117445,0.004499471,2
PBANKA_114440,0.157649101,Essential,-0.09279651,0.408094711,0.015680751,2
PBANKA_114470,0.79078356,Slow,0.627123356,0.954443764,0.006696166,2
PBANKA_114480,0.888922009,Dispensable,0.750441156,1.027402863,0.004794237,1
PBANKA_114490,0.18130615,Essential,-0.041620745,0.404233045,0.0124241,2
PBANKA_114530,0.1,Essential,NA,NA,Inf,2
